contract_symbol,last_trade_date,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_volatility,in_the_money,contract_size,currency,expiration,type,date_pulled
AAPL251010C00255000,2025-10-06 19:59:52+00:00,255.0,3.85,3.8,3.9,-1.2000003,-23.76238,10507.0,7842,0.2493971545410156,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00257500,2025-10-06 19:59:56+00:00,257.5,2.46,2.43,2.48,-0.90999985,-27.002964,29587.0,7196,0.2387771435546875,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00260000,2025-10-06 19:59:54+00:00,260.0,1.47,1.47,1.49,-0.68000007,-31.627909,66216.0,26615,0.2357254162597656,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00262500,2025-10-06 19:59:53+00:00,262.5,0.85,0.84,0.86,-0.42999995,-33.593746,20007.0,13414,0.2375564526367187,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00265000,2025-10-06 19:59:55+00:00,265.0,0.48,0.46,0.48,-0.25000003,-34.24658,23477.0,15646,0.2417068017578125,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00267500,2025-10-06 19:59:55+00:00,267.5,0.27,0.26,0.27,-0.13,-32.5,23429.0,4815,0.249030947265625,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00270000,2025-10-06 19:59:40+00:00,270.0,0.15,0.15,0.16,-0.049999997,-24.999998,10942.0,17806,0.25977302734375,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00272500,2025-10-06 19:57:31+00:00,272.5,0.09,0.08,0.09,-0.019999996,-18.181814,3238.0,7804,0.26758544921875,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00275000,2025-10-06 19:59:58+00:00,275.0,0.04,0.04,0.05,-0.030000001,-42.857143,5330.0,9631,0.27539787109374997,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00277500,2025-10-06 19:55:40+00:00,277.5,0.04,0.02,0.04,0.0,0.0,895.0,344,0.29688203124999996,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00280000,2025-10-06 19:58:53+00:00,280.0,0.02,0.01,0.03,0.0,0.0,2061.0,2567,0.31445998046874996,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00282500,2025-10-06 19:47:16+00:00,282.5,0.01,0.01,0.02,-0.01,-50.0,692.0,385,0.32617861328125,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00285000,2025-10-06 19:56:38+00:00,285.0,0.01,0.0,0.01,0.0,0.0,1934.0,1609,0.32813171874999997,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00287500,2025-10-06 19:36:27+00:00,287.5,0.01,0.0,0.01,-0.02,-66.66667,199.0,1078,0.35156898437499995,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00290000,2025-10-06 19:25:22+00:00,290.0,0.01,0.0,0.01,0.0,0.0,102.0,941,0.37500625,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00295000,2025-10-06 13:39:52+00:00,295.0,0.01,0.0,0.01,0.0,0.0,4.0,1342,0.42188078125,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00300000,2025-10-06 19:51:15+00:00,300.0,0.01,0.0,0.01,0.0,0.0,16.0,1752,0.4687553125,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00305000,2025-10-06 15:01:15+00:00,305.0,0.01,0.0,0.01,0.0,0.0,1.0,297,0.51562984375,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00310000,2025-10-02 15:37:32+00:00,310.0,0.01,0.0,0.01,0.0,0.0,300.0,750,0.5312546875,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00315000,2025-09-23 18:02:01+00:00,315.0,0.03,0.0,0.01,0.0,0.0,,63,0.5625043750000001,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00320000,2025-09-25 13:47:31+00:00,320.0,0.02,0.0,0.01,0.0,0.0,,189,0.5937540625000001,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00325000,2025-10-06 13:30:04+00:00,325.0,0.01,0.0,0.01,0.0,0.0,4.0,31,0.64062859375,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010P00120000,2025-10-03 13:50:07+00:00,120.0,0.01,0.0,0.01,0.0,0.0,4.0,38,1.9375003125,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00125000,2025-09-23 13:30:00+00:00,125.0,0.01,0.0,0.01,0.0,0.0,1.0,2,1.875000625,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00135000,2025-09-16 19:23:09+00:00,135.0,0.01,0.0,0.01,0.0,0.0,80.0,103,1.6875015625,False,REGULAR,USD,2025-10-10,P,2025-10-06
